,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
RNASE3,0,0,0,0,0,0,0,0,0,0,0,0,0
ECRP,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE2,3,1,1,0,0,0,0,0,0,0,0,0,0
METTL17,1653,1386,446,285,173,380,563,665,329,544,790,661,801
SLC39A2,0,0,0,0,0,0,2,0,0,0,0,0,0
NDRG2,430,337,106,67,26,56,120,41,24,37,71,53,62
TPPP2,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE13,0,4,0,0,0,0,1,0,0,0,0,0,0
RNASE7,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE8,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF40,997,807,354,239,57,308,463,572,321,486,582,500,453
ZNF219,2886,1899,684,370,243,369,554,436,223,409,254,292,195
TMEM253,130,88,28,15,12,8,12,4,6,3,12,8,12
OR5AU1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00641,224,269,113,51,1,38,68,111,32,78,110,70,125
HNRNPC,14532,10715,4987,2591,1306,4423,7207,9300,4555,8044,12977,9963,16022
RPGRIP1,79,48,18,13,1,7,15,21,6,10,5,9,9
SUPT16H,1811,1508,596,351,462,1690,2768,3278,1324,2891,4701,3720,5830
CHD8,1467,1244,553,309,141,589,1057,1617,748,1480,1765,1369,2208
SNORD9,1,9,0,0,0,1,0,1,0,0,1,0,0
SNORD8,0,1,0,0,0,0,0,0,0,0,0,0,0
RAB2B,575,488,237,87,32,113,272,434,233,449,473,400,615
TOX4,935,786,270,205,145,384,705,1008,549,947,1124,810,1238
METTL3,972,843,235,175,127,386,521,673,313,534,896,696,985
SALL2,57,59,17,8,4,54,80,22,9,20,67,57,79
OR10G3,0,0,0,0,0,0,0,0,0,0,0,0,0
OR10G2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4E2,0,0,0,0,0,0,0,0,0,0,0,0,0
DAD1,3234,2413,1124,696,1045,714,1151,1749,974,1528,1795,1555,2123
ABHD4,2400,1823,805,503,472,808,1380,2440,1371,2122,1493,1341,1399
OXA1L,5001,3806,1569,982,798,870,1371,1380,772,1086,1885,1479,1876
SLC7A7,3555,3219,717,497,204,275,686,179,120,114,446,321,466
MRPL52,2211,1545,668,426,1194,339,449,518,285,472,531,530,491
MMP14,260,198,76,58,5,21,28,18,13,33,19,23,15
LRP10,2455,2372,952,666,553,1020,1825,2712,1572,2296,1813,1809,1498
REM2,41,30,25,18,2,3,5,5,5,2,4,1,4
RBM23,975,831,287,209,204,508,793,1118,557,954,1134,962,1173
PRMT5,1510,1202,373,382,410,907,1356,1799,893,1576,2509,1890,3023
HAUS4,1444,1060,315,209,140,242,394,265,134,207,482,375,490
MIR4707,0,0,0,0,0,0,0,0,0,0,0,0,0
AJUBA,1134,960,224,193,105,568,856,674,287,546,784,906,773
C14orf93,584,399,125,86,55,49,78,70,55,66,85,85,121
PSMB5,4081,3215,1120,1021,940,1166,1625,2143,1275,2031,1834,2064,1846
PSMB11,0,2,0,0,0,1,0,0,0,0,0,0,0
CDH24,497,332,119,58,46,53,85,53,35,47,81,58,66
ACIN1,5288,3488,1837,1074,753,1166,2049,2418,1509,2303,2865,2323,2853
C14orf119,1163,1099,383,253,309,372,683,1305,618,1053,1120,944,1422
CEBPE,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A8,11,6,5,3,0,0,1,14,7,9,1,1,12
HOMEZ,308,249,100,67,55,72,131,200,104,168,181,158,232
PPP1R3E,717,551,168,72,24,70,99,50,38,54,84,60,118
BCL2L2-PABPN1,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L2,952,769,256,145,38,167,313,570,324,565,369,470,353
PABPN1,780,483,150,117,32,70,121,128,75,122,45,91,43
SLC22A17,721,499,275,165,76,72,127,77,43,63,72,97,62
EFS,0,0,0,0,0,0,0,0,0,0,0,0,0
IL25,0,0,0,0,0,0,0,0,0,0,0,0,0
CMTM5,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH6,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR208A,0,0,0,0,0,0,0,0,0,0,0,0,0
MYH7,0,1,0,0,0,0,0,0,0,2,0,0,1
MIR208B,0,0,0,0,0,0,0,0,0,0,0,0,0
NGDN,1524,873,398,281,222,226,348,719,304,549,839,591,921
THTPA,496,362,137,122,105,127,185,166,92,158,261,249,248
ZFHX2,230,164,83,51,14,37,70,96,56,100,131,86,114
AP1G2,5959,4385,1653,1033,474,405,674,488,338,477,706,655,620
JPH4,1,0,0,0,0,1,1,0,0,0,0,0,0
DHRS2,76,36,17,8,12,22,16,18,9,18,60,62,59
DHRS4-AS1,426,380,98,55,20,125,199,175,90,159,334,236,350
DHRS4,651,506,179,145,421,183,305,205,139,203,224,237,251
DHRS4L2,866,560,231,169,441,117,185,141,79,100,173,168,166
DHRS4L1,16,13,4,3,3,2,1,0,1,0,4,1,0
CPNE6,0,0,0,0,0,0,0,0,0,0,0,0,0
NRL,25,13,7,4,9,6,10,16,7,4,7,6,5
PCK2,844,670,190,154,223,212,339,452,267,375,415,428,379
DCAF11,1095,918,300,272,190,332,577,515,270,421,580,531,621
FITM1,0,4,1,1,2,1,4,1,1,3,1,1,1
PSME1,5458,4144,2270,1713,795,433,882,1853,954,1683,2673,2083,2990
EMC9,795,575,323,222,468,162,235,199,134,169,202,254,179
PSME2,6371,3913,3532,2481,1377,645,1033,2984,1600,2402,3156,3158,3315
RNF31,1070,867,558,375,101,173,354,509,321,489,745,579,616
IRF9,1500,1230,1123,718,79,100,201,945,593,884,1305,1067,1343
REC8,414,331,356,209,8,7,23,72,42,79,49,58,54
IPO4,1815,1434,474,355,324,682,1076,864,458,800,1232,1167,1181
TM9SF1,2106,1838,673,455,192,576,876,1183,611,938,1267,1183,1319
TSSK4,43,39,7,5,0,0,0,0,0,0,0,0,0
CHMP4A,1613,1131,559,420,577,291,466,400,228,384,794,656,856
NEDD8-MDP1,0,0,0,0,0,0,0,0,0,0,0,0,0
MDP1,56,48,23,8,12,8,12,10,8,12,14,7,12
NEDD8,1015,736,324,254,573,332,357,572,241,388,533,476,471
GMPR2,1362,1217,292,243,175,288,494,600,333,572,703,555,775
TINF2,692,632,292,173,64,205,372,581,311,498,621,550,655
TGM1,35,25,7,3,1,4,6,7,4,10,6,8,13
RABGGTA,845,621,256,143,131,95,160,179,96,175,212,193,187
DHRS1,452,446,120,96,58,53,86,80,60,83,93,87,111
NOP9,172,152,50,33,23,137,252,237,107,189,229,259,218
CIDEB,614,437,144,122,4,2,3,1,4,0,1,2,9
LTB4R2,20,33,4,4,0,18,40,19,18,18,20,27,9
LTB4R,1574,1310,380,184,72,100,167,95,58,95,182,165,200
ADCY4,2,3,1,1,0,0,1,0,0,0,0,0,0
RIPK3,0,0,0,0,0,0,0,0,0,0,0,0,0
NFATC4,53,49,20,17,2,1,3,4,1,3,3,0,0
NYNRIN,22,23,4,9,4,11,28,7,7,11,17,10,12
CBLN3,175,143,58,34,6,9,19,32,24,33,50,29,31
KHNYN,1126,968,311,191,78,429,837,1252,662,1117,998,1055,1014
SDR39U1,266,253,91,36,186,184,231,211,136,188,294,265,253
CMA1,0,0,0,0,0,0,0,0,0,0,0,0,0
CTSG,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMH,0,0,0,0,0,0,0,0,0,0,0,0,0
GZMB,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP6,14,18,5,9,8,5,11,4,5,10,15,4,18
NOVA1,682,517,209,108,27,43,83,72,33,74,113,82,160
MIR4307,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00645,0,0,0,0,0,0,0,0,0,0,0,0,0
FOXG1,0,1,0,0,0,0,0,0,0,0,0,0,0
MIR548AI,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKD1,96,138,29,19,9,43,101,176,85,185,167,116,223
G2E3,188,176,49,17,14,169,368,314,161,329,503,380,626
SCFD1,880,1025,331,181,77,237,448,753,324,710,1177,772,1535
COCH,156,207,51,29,44,210,391,384,131,301,545,459,626
LOC100506071,1,5,1,0,0,0,0,0,0,0,0,0,0
STRN3,376,418,99,36,5,174,317,593,264,584,571,414,716
MIR624,0,0,0,0,0,0,0,0,0,0,0,0,0
AP4S1,178,233,59,29,26,78,137,152,91,151,159,135,160
HECTD1,1213,1549,377,186,40,839,1645,2225,935,1802,2350,1747,2985
HEATR5A,637,571,138,121,31,351,747,703,279,561,859,574,1058
DTD2,528,511,139,93,36,99,206,142,72,154,248,237,305
GPR33,0,0,0,0,0,0,0,0,0,0,0,0,0
NUBPL,182,185,50,30,20,78,134,73,31,63,139,177,172
ARHGAP5-AS1,160,161,57,40,21,50,92,156,87,165,200,152,239
ARHGAP5,727,638,144,75,17,499,1074,1800,820,1691,2269,1810,2955
AKAP6,38,10,2,3,0,9,39,29,7,22,28,13,41
NPAS3,1,2,0,0,0,0,0,0,0,0,0,0,0
EGLN3,658,874,373,215,35,58,166,363,197,293,109,70,210
SPTSSA,3278,2828,807,533,36,313,836,659,448,627,1296,791,1552
EAPP,790,714,265,133,112,202,384,533,276,502,632,524,900
SNX6,681,727,385,187,29,504,870,1602,706,1375,2062,1623,2592
CFL2,998,1057,334,166,109,451,868,1368,597,1249,1545,1040,1669
BAZ1A,943,1091,466,210,86,361,669,1752,761,1617,1784,1618,2210
IGBP1P1,1,0,0,0,0,0,0,0,0,0,0,0,0
SRP54,1708,1763,638,325,100,489,878,1806,855,1570,2019,1376,2835
FAM177A1,1539,1382,592,285,159,408,683,1097,586,1140,1125,956,1431
PPP2R3C,133,233,67,38,51,65,128,281,161,337,254,234,339
KIAA0391,465,469,249,157,87,239,488,780,355,736,835,689,959
PSMA6,3163,3147,1282,912,737,847,1539,3295,1518,2844,3424,2448,4432
NFKBIA,5740,5840,3359,2234,96,450,836,3112,1731,2911,2626,2358,2920
INSM2,0,1,0,0,0,0,0,1,0,0,0,1,0
RALGAPA1,185,259,90,34,9,94,177,290,96,205,340,277,349
BRMS1L,126,170,35,18,9,104,218,158,94,209,271,234,400
LINC00609,0,2,0,0,0,0,0,0,0,0,0,0,0
PTCSC3,0,0,0,0,0,0,0,0,0,0,0,0,0
MBIP,312,294,88,40,11,79,161,149,97,154,309,235,391
SFTA3,0,0,0,0,0,0,0,0,0,0,0,0,0
NKX2-1,1,5,1,2,0,0,1,1,0,1,0,0,0
NKX2-8,79,50,124,50,9,9,20,39,18,26,26,26,16
PAX9,36,40,10,8,5,21,39,53,35,52,51,26,61
SLC25A21,37,34,5,2,1,3,6,8,3,13,9,8,14
MIR4503,0,0,0,0,0,0,0,0,0,0,0,0,0
MIPOL1,154,134,30,24,2,40,55,110,34,90,143,116,178
FOXA1,492,624,119,54,17,143,303,328,158,329,309,234,368
SSTR1,1,0,0,0,0,0,0,0,0,1,0,0,0
CLEC14A,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00639,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC23A,586,576,183,113,27,848,1649,2227,1021,2025,2492,1906,3182
GEMIN2,123,176,51,31,41,99,145,106,52,119,238,221,270
TRAPPC6B,279,373,87,36,15,102,217,360,161,334,382,278,469
PNN,6724,5112,1935,915,92,967,1622,1703,793,1693,2502,1920,3310
MIA2,18,24,1,2,0,15,32,23,8,11,43,26,59
LOC100288846,10,3,3,0,1,2,1,2,0,3,1,0,3
FBXO33,225,238,76,39,26,63,156,260,129,219,217,188,278
LRFN5,0,0,0,0,0,0,0,0,0,0,0,0,0
FSCB,0,0,0,0,0,0,0,0,0,0,0,0,0
C14orf28,83,102,38,13,15,19,44,70,30,55,78,50,98
KLHL28,93,85,27,9,8,56,99,146,59,167,193,167,227
PRPF39,620,736,250,89,13,180,314,341,182,367,616,484,793
SNORD127,0,0,0,0,0,0,0,0,0,0,0,0,1
FKBP3,3300,3128,1197,548,505,740,1350,1479,749,1394,2424,1894,2881
FANCM,77,99,18,11,4,88,151,152,65,153,234,213,322
MIS18BP1,256,277,37,25,4,307,619,455,211,410,937,684,1225
RPL10L,0,0,0,0,0,0,0,0,0,0,0,0,0
MDGA2,0,0,0,0,0,0,1,0,0,1,0,0,0
MIR548Y,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00648,1,0,1,1,0,0,1,0,0,0,0,1,0
RPS29,20602,12427,7413,4643,4938,1505,2178,3157,2055,2832,2375,2887,3099
LRR1,197,205,31,38,85,191,308,248,121,273,339,350,378
RPL36AL,11627,6863,3122,2418,2787,1109,1786,2800,1418,2369,3517,2582,5022
MGAT2,741,632,236,117,27,341,642,1062,514,994,926,819,1142
DNAAF2,314,290,58,55,17,103,187,150,81,140,265,214,265
POLE2,121,131,39,12,54,89,147,94,59,135,304,199,271
KLHDC1,39,27,10,1,0,1,6,6,1,10,15,6,11
KLHDC2,705,883,136,93,63,220,470,433,178,325,471,432,516
NEMF,994,1163,339,155,40,306,563,816,383,804,1151,942,1595
ARF6,1807,1637,811,442,267,851,1405,1670,819,1605,2087,2121,2543
SOS2,251,337,103,50,10,206,369,503,202,451,584,430,854
L2HGDH,164,189,65,29,24,107,217,262,122,240,477,454,562
ATP5S,168,156,27,31,21,27,67,59,24,44,54,53,51
CDKL1,11,16,6,3,3,10,19,32,12,28,25,22,35
MAP4K5,383,397,145,50,13,233,423,905,414,901,1116,787,1497
ATL1,126,130,48,23,3,43,87,95,32,81,90,90,115
SAV1,498,483,210,84,11,100,221,480,220,396,275,230,346
NIN,417,483,181,91,62,369,626,1038,420,863,1156,844,1450
ABHD12B,9,14,6,3,0,0,0,0,0,0,0,0,0
PYGL,2192,1828,1022,612,227,657,1100,1818,917,1531,1789,1444,2275
TRIM9,273,242,114,58,9,107,203,274,131,243,248,228,236
TMX1,570,552,209,131,68,473,877,1067,578,1005,1836,1350,2151
LINC00640,0,0,0,0,0,0,0,0,0,1,0,1,1
FRMD6-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMD6,45,44,34,6,8,108,173,840,335,746,618,575,651
FRMD6-AS1,7,9,2,1,2,4,10,12,7,13,10,10,8
GNG2,26,26,13,4,7,29,49,27,13,32,61,36,78
NID2,74,66,34,21,4,19,38,258,137,192,72,73,95
PTGDR,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGER2,55,72,13,12,0,5,16,29,26,27,10,12,16
TXNDC16,55,76,14,8,2,25,47,34,9,28,32,32,39
GPR137C,6,7,0,2,1,2,1,1,1,2,1,3,1
PSMC6,1232,1503,438,182,53,520,921,1599,711,1424,1466,1330,1843
STYX,228,283,61,33,33,117,272,293,155,293,461,280,502
GNPNAT1,776,810,199,102,119,377,707,1146,577,1170,1183,1068,1408
FERMT2,464,496,203,97,30,312,531,2000,793,1728,1083,858,1381
DDHD1,321,359,105,38,8,131,199,328,132,261,402,313,485
MIR5580,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP4,995,820,375,213,35,102,205,186,103,148,180,136,213
CDKN3,776,522,143,86,187,293,500,386,147,301,660,467,855
GMFB,399,410,104,60,22,328,780,920,482,1000,1189,987,1425
CGRRF1,164,160,27,27,21,60,107,137,49,111,191,148,223
SAMD4A,213,204,133,96,18,74,128,685,350,669,388,313,401
GCH1,197,221,104,40,2,41,76,277,113,227,197,152,252
MIR4308,0,0,0,0,0,0,0,0,0,0,0,0,0
WDHD1,317,262,58,31,23,263,520,324,109,297,757,586,922
SOCS4,227,291,73,29,12,166,318,346,180,343,574,503,711
MAPK1IP1L,1375,1324,401,234,94,519,1037,1114,587,1153,1554,1241,1736
LGALS3,1731,1601,823,544,279,326,475,870,412,745,833,659,1028
DLGAP5,342,448,53,34,87,514,946,747,307,601,1267,992,1707
FBXO34,410,424,122,88,15,164,272,374,142,290,470,359,542
ATG14,394,418,93,62,26,105,192,281,140,250,266,268,341
TBPL2,0,0,0,0,0,0,0,0,0,0,0,0,0
KTN1-AS1,57,49,21,5,11,12,16,30,20,20,26,22,23
KTN1,2540,3627,740,498,186,1383,3005,5328,2145,4765,6080,4487,8308
RPL13AP3,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00520,0,1,0,0,0,0,0,11,9,7,0,0,0
PELI2,92,112,12,14,2,38,107,103,53,71,97,64,117
OTX2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTX2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
EXOC5,405,458,106,51,32,321,744,1452,624,1279,1219,939,1468
AP5M1,263,307,73,32,30,211,356,514,240,497,620,437,867
NAA30,142,195,32,20,16,159,335,456,183,412,442,359,481
SLC35F4,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR10,764,802,285,144,48,225,402,598,224,493,577,516,612
PSMA3,3286,2509,1247,707,396,637,1057,1986,897,1604,2608,1928,3058
ARID4A,340,581,82,44,7,102,238,382,193,346,426,328,512
TOMM20L,8,4,0,1,0,1,2,0,0,0,1,0,1
TIMM9,895,981,260,115,157,154,248,219,131,204,471,358,522
KIAA0586,169,153,43,32,19,123,207,265,110,231,293,208,427
DACT1,0,3,1,0,0,1,5,16,7,16,3,8,8
DAAM1,140,140,43,25,5,49,91,356,147,288,179,142,262
GPR135,31,19,8,7,1,9,23,18,11,12,20,16,24
L3HYPDH,602,436,237,127,59,152,203,335,154,307,359,269,431
JKAMP,921,1262,380,142,55,424,730,1137,529,1013,1440,1023,1747
CCDC175,2,0,0,0,0,0,0,0,0,0,0,0,0
RTN1,1,0,0,0,0,0,0,0,0,0,0,0,1
LRRC9,1,0,0,0,0,0,0,0,0,0,0,0,0
DHRS7,2624,2338,928,472,240,307,630,1192,560,1010,1000,903,1162
PPM1A,635,670,202,107,54,230,440,516,238,510,736,500,960
C14orf39,0,0,0,0,0,0,0,0,0,0,0,0,0
SIX6,0,0,0,0,0,0,0,0,0,0,0,0,0
SIX1,86,110,70,31,11,47,95,187,117,188,314,278,334
SIX4,76,56,18,11,6,37,63,123,68,117,96,92,151
MNAT1,483,593,249,98,53,142,293,583,285,559,544,473,634
TRMT5,568,429,167,91,57,144,233,245,90,191,448,324,534
SLC38A6,523,406,88,71,96,116,228,423,191,340,332,257,360
TMEM30B,3,7,1,0,0,0,1,3,3,1,8,0,2
PRKCH,150,114,40,39,12,61,91,139,74,97,162,120,231
FLJ22447,3,4,1,0,0,0,4,1,0,2,3,1,2
HIF1A,1562,2007,735,304,31,1950,4141,7241,3161,6554,10962,6558,14863
HIF1A-AS2,0,1,0,0,0,1,2,1,5,3,1,1,4
SNAPC1,469,535,172,99,40,125,244,450,281,488,524,462,710
SYT16,0,0,3,0,0,0,0,1,0,0,0,0,0
LINC00643,0,0,0,0,1,0,0,0,0,0,0,0,0
KCNH5,0,0,0,0,0,0,0,0,0,0,0,0,0
RHOJ,0,0,0,0,0,0,0,0,0,0,0,0,0
GPHB5,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R5E,267,341,80,42,18,196,435,580,238,475,675,501,857
WDR89,214,300,62,44,29,72,144,203,100,202,299,227,314
SGPP1,283,221,68,38,8,169,317,341,213,385,452,384,436
SYNE2,1778,1821,307,204,19,408,813,742,334,581,927,634,1285
ESR2,20,17,6,1,1,1,1,3,0,3,1,3,7
TEX21P,4,4,0,0,1,1,2,2,0,0,0,1,0
MTHFD1,3180,2592,825,528,524,1543,2538,2155,1022,1898,3637,2965,3879
AKAP5,17,35,16,4,3,19,40,17,6,18,42,30,38
ZBTB25,238,222,138,49,13,34,86,76,36,52,103,95,128
ZBTB1,622,791,206,89,16,179,357,518,228,455,647,493,837
HSPA2,1827,1400,911,540,111,709,1247,1011,602,1015,1184,878,1283
PPP1R36,3,4,4,0,2,0,2,2,1,2,1,2,4
PLEKHG3,1188,892,224,235,153,388,601,870,414,774,644,631,625
SPTB,202,200,48,38,13,74,108,60,30,53,98,72,64
CHURC1-FNTB,0,0,0,0,0,0,0,0,0,0,0,0,0
CHURC1,275,329,98,46,40,135,256,301,138,298,396,342,493
GPX2,36656,28287,7581,4630,12955,5247,9980,3822,2667,3369,8056,5103,9495
RAB15,2782,2305,722,571,226,578,1033,733,365,627,973,787,982
FNTB,17,24,7,4,0,26,58,46,35,59,49,54,46
MAX,775,573,240,119,85,239,371,720,430,786,1012,691,1118
MIR4706,0,0,0,0,0,0,0,1,0,0,0,0,0
LOC100506321,0,0,0,0,0,0,0,0,0,1,0,0,0
MIR4708,0,0,0,0,0,0,0,0,0,0,0,0,0
FUT8,419,516,156,73,28,123,270,489,212,403,555,450,756
FUT8-AS1,4,10,3,1,0,7,9,5,5,3,5,9,10
GPHN,316,252,65,49,26,102,155,226,93,181,270,193,305
FAM71D,1,1,1,0,0,0,0,0,0,0,0,0,0
MPP5,237,274,57,43,28,243,523,824,298,809,744,615,922
ATP6V1D,874,895,297,203,219,294,461,1182,441,1011,843,646,930
EIF2S1,1240,1106,373,251,388,713,1264,1927,855,1816,2200,1953,2640
PLEK2,57,49,90,48,79,81,113,729,344,628,455,413,509
TMEM229B,17,23,12,3,2,0,10,19,10,5,27,31,22
PLEKHH1,292,235,131,47,8,44,91,89,34,82,130,73,145
PIGH,239,261,87,58,37,96,136,177,92,161,191,167,209
ARG2,133,113,24,9,2,6,12,93,24,64,21,37,26
VTI1B,652,527,228,131,305,361,568,522,254,521,770,639,980
RDH11,2637,2339,1144,656,296,759,1234,2441,1186,2219,2161,1761,2854
RDH12,16,14,2,1,2,0,1,0,1,1,3,1,2
ZFYVE26,439,336,121,82,50,256,423,758,398,649,780,584,791
RAD51B,98,95,46,19,10,32,28,59,20,41,78,59,101
ZFP36L1,2283,2521,1008,524,291,1375,2451,5138,3192,5702,5615,4822,6014
ACTN1,6337,4661,3488,1827,678,2734,4537,10723,5749,9796,7975,7144,8005
ACTN1-AS1,10,1,2,0,0,0,2,1,0,2,2,2,1
DCAF5,1513,1217,674,267,48,256,443,741,443,696,697,601,851
EXD2,607,564,149,86,44,199,367,362,162,274,430,306,517
GALNT16,19,15,8,4,16,24,27,3,6,15,41,38,22
ERH,3429,2439,1254,514,653,930,1463,1522,802,1398,2071,1864,2471
SLC39A9,782,783,263,140,117,550,1095,1262,499,1016,1265,1071,1536
PLEKHD1,1,0,0,0,0,0,1,0,0,1,0,0,0
CCDC177,2,1,0,0,0,0,0,0,0,0,0,0,0
LOC100289511,15,8,3,3,0,1,0,0,0,1,2,0,0
SRSF5,5477,4330,1601,870,237,776,1296,2217,1192,2376,1883,1723,2274
SLC10A1,3,1,0,1,0,0,0,0,0,0,0,0,0
SMOC1,3312,2486,951,702,55,120,273,186,102,179,436,319,540
SLC8A3,6,0,2,0,0,1,0,0,0,0,2,0,0
ADAM21P1,1,0,0,0,0,0,0,0,0,0,0,0,0
SYNJ2BP-COX16,0,0,0,0,0,0,0,0,0,0,0,0,0
COX16,98,90,36,20,22,12,19,28,17,33,23,17,14
SYNJ2BP,550,589,181,90,53,192,417,443,233,504,663,524,783
ADAM21,2,0,0,0,0,0,0,2,2,1,0,0,0
ADAM20P1,31,15,11,2,0,2,1,5,6,0,0,0,0
ADAM20,11,4,2,0,0,0,0,1,0,1,1,0,0
MED6,644,631,248,121,79,152,226,526,240,436,534,395,661
TTC9,186,173,61,39,20,63,98,127,84,109,112,91,142
MAP3K9,125,84,29,27,18,117,160,242,121,226,194,148,171
SNORD56B,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC145474,0,1,1,0,0,0,0,0,0,0,0,0,0
SIPA1L1,454,363,149,111,41,189,249,430,209,385,481,317,588
RGS6,0,0,0,0,0,0,0,0,0,0,0,0,0
DPF3,0,0,1,0,0,0,0,1,1,1,2,1,1
DCAF4,335,284,98,74,34,92,181,204,83,170,290,199,309
ZFYVE1,313,295,142,76,43,118,183,398,228,409,219,180,210
RBM25,2529,2253,911,424,139,534,946,1369,663,1355,1867,1671,2504
PSEN1,1641,1515,648,423,186,547,989,1919,895,1580,1901,1357,2471
PAPLN,404,352,129,95,30,98,140,129,60,95,106,105,101
NUMB,1915,1707,532,303,86,514,954,1995,1084,1864,1578,1194,1752
HEATR4,27,5,2,6,0,0,0,0,0,1,0,3,3
ACOT1,188,174,43,62,21,27,42,80,38,40,42,59,29
ACOT2,1084,900,408,246,70,210,326,346,162,292,292,364,222
ACOT4,20,27,7,9,12,13,16,35,13,21,28,17,30
ACOT6,0,1,0,0,0,0,0,0,0,0,0,0,0
DNAL1,302,292,83,45,25,62,122,165,88,153,169,145,220
PNMA1,727,754,367,242,62,397,678,1207,621,1001,901,847,907
ELMSAN1,559,513,270,137,9,215,323,751,361,664,480,440,494
MIR4505,0,0,0,0,0,0,0,0,0,0,0,0,0
PTGR2,784,794,212,89,40,88,212,142,74,146,282,203,366
ZNF410,636,685,185,158,168,226,396,713,302,520,735,547,792
FAM161B,56,51,17,6,2,13,39,29,24,41,51,52,44
COQ6,673,507,166,118,76,120,187,169,119,184,212,188,226
ENTPD5,122,101,36,13,3,54,81,92,45,101,120,96,184
ALDH6A1,62,62,3,2,8,46,95,53,23,44,102,51,103
LIN52,68,53,12,7,3,37,66,95,34,84,140,92,164
VSX2,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD4,1209,890,279,258,163,169,304,464,288,438,397,367,353
VRTN,0,0,0,0,0,0,0,0,0,0,0,0,0
SYNDIG1L,0,0,0,0,0,0,0,0,1,0,0,0,0
NPC2,2379,1914,751,487,621,456,738,1309,804,1135,1228,1050,1288
MIR4709,0,0,0,0,0,0,0,0,0,0,0,0,0
ISCA2,630,525,214,135,132,217,325,380,211,366,335,344,377
LTBP2,348,288,167,112,67,222,388,901,501,844,724,655,692
FCF1,424,338,179,119,68,304,631,838,367,726,831,852,925
YLPM1,887,781,247,150,87,544,1032,1262,593,1147,1682,1170,1986
PROX2,15,27,5,3,0,0,0,0,0,0,0,0,0
DLST,1574,1689,576,411,190,783,1286,1762,878,1488,1733,1621,1795
RPS6KL1,5,2,3,2,6,8,8,11,6,11,6,14,11
PGF,38,51,14,2,14,5,10,235,126,235,30,12,19
EIF2B2,959,744,292,154,227,347,508,601,302,545,899,645,922
MLH3,587,564,150,86,74,205,387,413,152,315,609,452,743
ACYP1,371,239,93,55,29,60,97,102,56,86,86,101,72
ZC2HC1C,66,82,16,6,14,17,26,30,12,29,38,43,39
NEK9,2100,2048,626,393,94,575,1071,1135,540,862,1233,1058,1507
TMED10,4157,4156,1292,868,377,1159,2285,3797,1918,3330,4463,3299,5065
FOS,21457,18550,4608,2382,3,28,57,140,115,134,80,62,76
JDP2,373,325,102,72,55,152,240,390,221,390,379,324,328
BATF,0,0,0,1,0,0,0,0,0,0,0,0,0
FLVCR2,207,164,62,38,19,55,88,109,45,95,122,101,134
TTLL5,554,445,208,109,87,206,413,354,187,264,663,383,834
TGFB3,74,50,15,11,0,6,16,13,7,17,11,7,15
IFT43,1335,801,336,247,245,130,222,277,144,224,275,237,279
GPATCH2L,76,99,43,24,10,69,103,227,117,204,186,161,210
ESRRB,9,3,1,3,0,1,2,8,3,8,0,1,4
VASH1,593,475,182,113,28,89,192,94,52,71,142,183,129
ANGEL1,394,335,119,80,44,177,287,185,102,159,281,282,279
IRF2BPL,694,718,606,271,20,237,342,736,392,637,638,779,489
ZDHHC22,11,7,4,6,4,3,7,2,4,3,4,7,3
TMEM63C,46,33,13,8,8,11,22,6,11,2,20,9,12
NGB,2,1,0,0,0,0,0,0,0,0,0,0,0
MIR1260A,0,0,0,0,0,0,0,0,0,0,0,0,0
POMT2,1000,830,302,229,171,290,469,451,240,365,588,530,569
GSTZ1,1175,813,246,199,380,153,289,174,92,159,263,244,250
