,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
ZCCHC17,91,209,208,30,328,375,361,572,1239,369,362,136
FABP3,2,5,1,0,8,4,6,7,22,7,12,3
SERINC2,77,175,50,40,3540,3350,4170,7585,17049,4245,4561,2039
TINAGL1,10,10,3,2,2280,2485,3070,5413,13884,3395,1806,836
HCRTR1,0,0,0,0,0,0,0,1,0,0,0,0
PEF1,239,457,229,111,441,446,653,1098,2013,500,535,257
COL16A1,44,65,46,14,727,700,931,1609,2821,641,829,428
MIR4254,0,0,0,0,0,0,0,0,0,0,0,0
SPOCD1,3,8,4,3,45,34,21,51,292,56,12,13
PTP4A2,877,2023,3016,593,557,593,813,1657,4286,893,776,343
KHDRBS1,923,1630,1767,358,767,826,1276,2412,5156,1032,928,516
TMEM39B,50,80,55,27,61,49,64,111,203,70,58,13
KPNA6,389,760,543,178,557,626,488,1043,3230,764,660,364
TXLNA,402,709,531,135,352,368,417,851,2135,530,441,202
CCDC28B,8,17,4,0,21,30,25,44,117,19,26,9
IQCC,7,21,26,7,25,17,25,32,93,21,25,15
DCDC2B,4,6,5,0,6,6,9,16,26,2,3,0
TMEM234,13,33,16,9,54,67,77,148,247,50,33,14
EIF3I,730,1516,1730,544,1609,1719,2166,3757,8388,1985,1595,785
MTMR9LP,16,25,8,6,4,2,3,6,22,5,4,3
FAM167B,5,9,5,0,1,1,1,2,7,3,1,1
LCK,0,0,4,1,1,0,2,0,1,0,0,1
HDAC1,448,926,1158,306,806,818,940,1783,4829,1126,709,349
MARCKSL1,229,482,238,133,540,603,486,942,1898,430,350,208
FAM229A,6,6,0,1,7,3,5,8,6,1,5,2
TSSK3,15,21,27,9,12,6,4,12,31,6,16,3
BSDC1,177,304,197,68,414,387,492,885,1720,482,466,220
ZBTB8B,0,0,0,0,0,0,1,0,0,0,0,0
ZBTB8A,23,79,87,14,24,40,52,81,248,30,50,30
ZBTB8OS,61,139,290,49,120,114,228,401,602,185,169,99
RBBP4,306,680,837,175,296,365,444,795,1702,382,480,256
SYNC,21,36,22,9,32,29,38,76,115,30,51,14
KIAA1522,377,688,242,125,1164,1134,1094,2240,4655,1023,1313,679
YARS,453,918,798,250,747,730,774,1669,4007,1003,820,416
S100PBP,119,216,288,74,108,86,115,244,416,106,139,68
FNDC5,2,3,9,0,0,1,0,2,0,0,0,0
HPCA,1,1,0,1,0,2,0,0,9,0,2,1
TMEM54,95,181,101,46,396,455,550,968,2060,414,442,197
RNF19B,88,189,304,62,138,117,147,310,1258,289,203,94
AK2,422,938,1016,242,929,952,1205,2197,3947,922,1175,584
TRIM62,9,34,14,7,64,65,65,138,219,51,71,38
ZNF362,71,169,91,35,56,71,27,49,90,23,45,21
PHC2,244,386,315,117,603,598,596,1130,3457,707,494,234
MIR3605,0,0,0,0,0,0,1,0,0,1,0,0
ZSCAN20,20,39,34,12,16,11,22,36,156,33,23,14
CSMD2,0,0,1,0,0,0,0,0,1,0,1,0
HMGB4,0,0,0,0,0,0,0,0,0,0,0,0
C1orf94,0,0,0,0,0,0,0,0,0,0,0,0
GJB5,1,2,1,2,456,516,660,1175,2699,655,589,299
GJB4,0,3,2,1,151,165,179,355,872,193,164,83
GJB3,0,1,4,2,1180,1326,1545,3119,7413,1714,1401,747
GJA4,0,0,0,0,0,2,0,0,7,2,3,4
SMIM12,97,181,218,72,250,238,347,659,1287,337,280,145
DLGAP3,0,2,1,0,0,1,1,1,1,0,4,1
LOC653160,5,14,13,4,4,4,2,6,6,5,5,3
ZMYM6,59,133,179,22,105,136,186,425,858,139,217,110
ZMYM1,54,118,217,31,59,50,158,307,554,64,119,86
SFPQ,1461,3122,3110,658,1218,1287,1755,3377,6912,1679,1416,844
ZMYM4,237,527,683,113,217,231,274,597,1582,304,415,229
KIAA0319L,249,406,279,90,253,311,255,485,1300,327,438,213
NCDN,98,169,42,37,262,240,330,697,1530,352,345,161
TFAP2E,1,2,4,1,2,6,11,14,27,2,7,5
PSMB2,570,1196,1124,342,1225,1305,1430,2639,6014,1351,1330,671
C1orf216,103,199,132,49,65,64,80,146,431,131,110,30
CLSPN,199,461,551,126,86,106,54,121,288,101,36,10
AGO4,67,138,113,14,101,84,76,173,506,106,127,56
AGO1,137,235,166,53,90,82,77,144,428,132,136,67
AGO3,39,81,89,7,26,24,38,79,231,54,40,26
TEKT2,0,0,0,0,1,0,0,1,4,0,1,0
ADPRHL2,99,161,80,34,265,301,435,788,1454,358,341,163
COL8A2,0,1,1,1,7,10,17,28,45,14,17,5
TRAPPC3,175,365,345,110,486,563,726,1353,2786,623,636,286
MAP7D1,383,684,458,152,1796,1787,2572,4702,10479,2376,2069,1143
THRAP3,762,1631,1545,313,973,1009,913,1829,4883,1089,1058,544
SH3D21,2,10,12,1,126,136,171,350,542,139,199,108
EVA1B,50,101,11,15,83,102,130,297,298,66,94,35
STK40,58,111,59,33,107,99,154,254,799,178,137,91
LSM10,62,164,168,45,127,127,182,339,619,132,146,74
OSCP1,20,41,38,8,38,29,36,54,72,22,17,18
MRPS15,270,582,550,170,704,749,923,1753,2791,632,638,314
CSF3R,0,0,0,0,0,0,0,0,0,0,0,0
GRIK3,0,0,0,0,0,0,0,0,0,0,0,0
MIR4255,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H12A,118,225,153,50,192,165,302,501,1553,323,257,137
MEAF6,137,303,326,68,243,267,321,603,1214,241,299,150
MIR5581,0,1,1,0,0,0,0,1,0,0,0,0
SNIP1,59,162,137,24,74,89,137,232,569,117,148,72
DNALI1,0,0,0,2,3,4,2,6,0,2,2,1
GNL2,163,437,567,129,516,548,601,1119,2274,565,438,240
RSPO1,0,1,1,0,0,0,0,0,0,0,0,0
C1orf109,98,187,257,45,90,99,140,257,569,139,182,104
CDCA8,240,466,431,112,162,155,112,188,521,121,70,48
EPHA10,19,39,16,6,1,1,0,2,3,0,2,1
MANEAL,121,232,176,63,15,10,14,17,13,6,18,6
YRDC,46,62,77,34,132,132,234,406,1256,257,218,146
C1orf122,118,218,29,63,250,251,361,653,1559,288,350,141
MTF1,88,136,158,45,199,185,193,422,1198,313,299,180
INPP5B,46,97,92,24,37,26,33,58,89,39,27,13
SF3A3,377,810,1253,256,468,452,524,1016,2381,536,533,247
FHL3,39,50,28,14,116,139,135,272,523,140,116,68
POU3F1,0,0,0,0,1,1,3,3,8,0,7,3
MIR3659,0,0,0,0,0,0,0,0,0,0,0,0
RRAGC,113,205,215,59,193,196,405,841,2354,505,544,239
GJA9-MYCBP,0,0,0,0,0,0,0,0,0,0,0,0
MYCBP,0,0,0,0,0,0,1,0,0,0,0,0
GJA9,0,0,0,0,0,0,0,0,0,0,0,0
RHBDL2,0,11,3,3,85,78,97,168,349,87,119,56
AKIRIN1,228,503,398,72,525,567,919,1797,3908,737,836,468
NDUFS5,434,1149,1836,328,1252,1410,1722,2942,4353,1337,1183,615
MACF1,651,1276,1727,320,1332,1403,1253,2801,9305,2477,2082,1362
KIAA0754,88,182,257,49,15,8,3,14,135,35,43,16
BMP8A,18,26,10,3,4,3,4,2,14,5,5,2
PPIEL,10,25,39,3,8,5,4,8,21,6,8,7
PABPC4,549,1126,998,231,928,993,1249,2429,5265,1069,1477,739
SNORA55,0,2,2,0,1,0,2,3,10,1,0,1
HEYL,38,60,43,16,0,0,1,2,0,0,0,0
NT5C1A,0,0,0,0,0,0,0,0,0,0,0,0
HPCAL4,0,2,1,0,0,1,0,1,1,1,0,1
PPIE,178,385,428,108,245,248,329,631,1119,285,327,152
BMP8B,42,72,44,18,4,0,5,7,16,2,3,3
OXCT2,0,0,0,0,4,0,2,4,10,0,0,0
TRIT1,81,138,247,49,118,115,199,370,587,183,195,117
MFSD2A,7,13,11,8,271,271,319,670,1423,340,282,127
CAP1,1212,2382,3036,619,6794,6832,6552,13268,37305,9642,6421,3186
PPT1,325,780,790,179,321,355,466,926,1889,421,489,234
RLF,76,140,265,47,127,154,198,409,1204,229,328,192
TMCO2,0,0,0,0,0,0,0,0,5,0,1,1
ZMPSTE24,215,500,914,184,320,383,697,1638,4074,724,1149,723
COL9A2,0,0,0,0,2,2,1,4,5,2,0,2
SMAP2,61,104,86,21,167,183,160,308,722,180,254,112
ZFP69B,8,26,34,6,9,6,13,42,93,16,21,15
ZFP69,0,0,0,0,19,15,29,59,92,18,28,11
EXO5,14,33,21,10,26,30,33,72,152,49,55,15
ZNF684,8,13,29,1,10,9,13,28,54,8,16,7
RIMS3,39,76,39,15,15,16,10,17,55,12,34,9
NFYC,175,365,441,115,155,185,205,387,741,152,138,77
MIR30E,0,0,0,0,0,0,0,0,0,0,0,0
MIR30C1,0,0,0,0,0,0,0,0,0,0,0,0
KCNQ4,2,4,2,3,1,0,1,4,4,0,3,2
CITED4,88,139,28,33,189,237,614,1069,1321,200,190,93
CTPS1,453,828,940,249,604,617,830,1583,3930,1006,784,376
SLFNL1-AS1,6,11,8,4,2,2,5,12,14,2,2,4
SLFNL1,3,1,4,2,0,0,1,4,9,2,4,0
SCMH1,80,144,115,38,90,111,121,177,473,107,93,44
EDN2,1,3,1,1,1,3,0,1,10,3,12,10
HIVEP3,11,17,32,8,11,9,14,24,55,20,7,3
GUCA2B,1,0,0,0,0,0,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0,0,0,0,0,0,0
FOXJ3,215,385,435,78,265,253,294,573,1518,291,374,166
RIMKLA,41,85,74,22,0,0,0,1,0,1,0,0
ZMYND12,2,2,0,0,1,1,1,1,3,1,2,1
PPCS,148,334,274,56,133,161,342,518,731,165,247,126
CCDC30,4,6,20,0,0,0,1,2,4,2,5,9
PPIH,80,190,215,41,168,186,242,417,671,186,219,83
YBX1,2034,4567,8144,1272,5710,6418,7033,12236,26983,6271,5682,3339
CLDN19,0,0,0,1,0,0,0,0,0,0,0,0
C1orf50,27,47,19,8,69,66,94,165,313,77,67,33
ERMAP,52,97,110,39,46,32,45,90,236,70,89,41
ZNF691,51,74,81,21,35,30,51,93,128,23,28,9
SLC2A1,811,1566,524,271,4495,4222,4054,7287,13274,3099,4824,2166
SLC2A1-AS1,6,2,8,0,6,6,6,14,26,14,16,2
FAM183A,0,3,2,0,4,3,5,7,18,1,2,4
EBNA1BP2,457,983,1900,333,685,703,917,1708,3547,796,807,458
TMEM125,0,0,0,0,26,19,36,65,33,14,17,10
C1orf210,0,0,0,0,14,28,26,55,80,22,27,9
TIE1,0,0,0,0,0,0,0,0,0,5,0,1
MPL,1,0,0,1,1,1,0,4,9,2,4,0
CDC20,613,1316,1241,444,395,362,237,457,1361,329,129,77
ELOVL1,371,756,568,203,1223,1236,1425,2732,6424,1833,1360,556
MED8,127,218,242,89,202,205,298,549,1103,258,191,96
SZT2,128,235,118,40,180,171,163,335,936,234,250,95
HYI,0,0,0,0,0,0,0,0,0,0,0,0
PTPRF,1053,1851,1317,401,3348,3093,2266,4404,16777,4205,4719,2410
KDM4A,167,340,271,67,257,232,248,474,1301,357,351,166
KDM4A-AS1,1,10,1,0,3,2,1,9,28,8,4,1
ST3GAL3,28,29,16,7,66,63,77,133,195,52,49,24
ARTN,4,5,1,1,286,301,480,863,991,181,80,38
IPO13,114,202,105,43,341,312,403,769,1835,427,584,290
DPH2,91,219,110,51,174,138,188,376,865,215,225,91
ATP6V0B,179,336,60,64,508,517,862,1571,3029,735,746,339
B4GALT2,173,301,268,87,550,560,593,1068,2209,562,559,308
CCDC24,40,87,31,12,49,75,83,137,238,50,52,25
SLC6A9,64,130,47,22,69,48,38,78,158,47,54,23
KLF17,0,1,0,0,0,1,0,0,0,0,0,0
DMAP1,94,147,164,47,117,121,151,243,492,152,70,41
ERI3,176,373,166,91,235,219,315,540,957,228,280,146
RNF220,221,358,338,51,263,250,223,449,1018,280,240,100
MIR5584,0,0,0,0,0,0,0,0,0,0,0,0
TMEM53,29,44,23,20,25,27,27,45,115,33,32,13
KIF2C,408,701,765,182,110,135,49,116,338,89,24,12
RPS8,3380,6316,9735,2064,5878,6265,10273,15828,27461,6775,7284,3638
SNORD55,3,2,0,5,9,5,11,10,19,3,2,3
SNORD46,0,0,0,0,1,1,5,5,11,4,2,0
SNORD38A,0,0,0,0,0,0,3,2,29,8,4,1
SNORD38B,0,1,2,2,3,0,1,7,6,5,10,1
BEST4,0,0,0,0,0,1,1,0,7,3,1,0
PLK3,46,79,47,16,168,172,313,593,805,195,141,65
TCTEX1D4,0,6,2,1,6,1,9,17,19,10,7,3
BTBD19,9,12,1,1,13,16,18,48,32,15,8,12
PTCH2,3,0,9,3,5,7,2,5,10,2,11,8
EIF2B3,54,151,155,42,188,163,244,424,780,207,235,117
HECTD3,186,301,221,66,374,327,384,818,1585,421,358,197
UROD,149,257,211,66,512,478,800,1433,2500,621,580,237
ZSWIM5,32,81,66,10,1,2,3,1,1,1,3,3
HPDL,8,11,4,2,2,6,10,14,16,5,7,3
MUTYH,49,81,80,32,47,57,65,108,165,31,43,13
TOE1,59,110,82,37,39,41,55,112,177,50,39,14
TESK2,9,11,3,5,14,8,8,22,42,15,18,4
MMACHC,11,22,21,4,33,34,57,87,154,34,36,24
PRDX1,4688,8926,9313,2629,2787,3249,5317,10047,19143,4646,4199,1924
AKR1A1,302,475,337,158,263,255,362,667,1286,335,274,116
NASP,650,1442,2048,332,408,480,306,580,1202,337,191,86
CCDC17,5,5,7,2,12,7,8,25,49,6,13,6
GPBP1L1,243,495,794,197,356,416,510,1071,2322,528,588,320
RPS15AP10,2,0,0,2,1,1,1,0,0,0,0,1
TMEM69,80,248,261,57,277,297,321,572,1049,300,277,139
IPP,50,98,70,22,38,35,78,156,280,76,105,47
MAST2,213,346,355,106,275,252,239,482,1131,317,289,137
PIK3R3,22,58,66,11,5,2,7,9,50,8,14,13
TSPAN1,3,4,9,0,1527,1715,2491,4474,5446,1529,1906,786
POMGNT1,225,456,307,116,339,330,356,701,1981,514,461,232
LURAP1,0,0,0,0,3,6,5,12,24,3,3,1
RAD54L,53,100,110,31,67,86,28,67,139,39,17,17
LRRC41,320,589,279,130,479,477,668,1307,3117,670,994,439
UQCRH,502,1277,1679,229,709,807,1456,2529,4358,1230,1270,578
NSUN4,115,221,158,54,139,142,168,306,764,153,155,93
FAAH,1,5,5,1,43,33,71,120,140,27,30,13
DMBX1,8,11,9,2,0,1,0,0,0,0,0,0
MKNK1-AS1,0,3,4,0,1,2,2,5,7,0,0,2
KNCN,0,0,0,0,0,0,0,0,0,0,1,0
MKNK1,94,155,162,38,169,217,223,461,1043,237,223,108
MOB3C,31,77,32,10,82,78,105,175,367,98,78,40
ATPAF1,204,488,515,101,118,111,173,295,700,140,168,78
TEX38,0,0,0,0,0,0,0,0,0,0,0,0
EFCAB14-AS1,0,0,0,1,0,0,0,1,3,0,0,1
EFCAB14,271,609,716,182,476,514,579,1228,3066,626,749,404
CYP4B1,0,0,1,0,3,0,11,22,1,0,25,9
CYP4Z2P,0,0,0,0,0,0,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,0,0,0,0,0,0,0
CYP4X1,0,0,1,0,4,2,6,10,28,3,11,5
CYP4Z1,1,0,0,0,0,0,0,0,1,0,0,0
CYP4A22,0,1,1,0,0,0,0,0,0,0,1,0
LINC00853,1,4,1,3,1,0,0,3,0,0,0,0
PDZK1IP1,29,33,28,10,47,55,14,19,99,29,230,91
TAL1,1,0,3,0,0,0,0,0,0,0,0,0
STIL,172,458,622,129,97,84,57,111,385,68,88,38
CMPK1,402,900,1233,258,516,559,1250,2759,5288,783,1536,883
FOXE3,0,0,0,0,0,0,0,0,0,0,0,2
FOXD2-AS1,9,13,16,9,11,5,1,10,14,1,11,4
FOXD2,12,21,12,3,2,2,5,3,10,0,0,1
TRABD2B,1,3,2,0,5,5,1,5,12,2,10,4
SLC5A9,0,0,3,0,0,1,0,0,0,1,0,0
SPATA6,13,32,36,6,13,9,8,17,61,10,8,6
AGBL4,0,0,0,0,0,0,0,0,0,0,0,0
BEND5,1,0,0,0,0,0,0,0,5,0,0,0
ELAVL4,0,0,0,0,0,0,0,0,0,0,0,0
DMRTA2,11,17,12,2,65,81,149,220,332,57,79,29
FAF1,168,348,460,96,190,194,251,506,1154,233,278,130
CDKN2C,156,351,120,47,28,31,13,24,45,14,8,10
C1orf185,0,0,0,0,0,0,0,0,0,0,0,0
RNF11,100,241,253,48,261,303,617,1465,3125,456,815,450
TTC39A,25,59,33,13,14,21,41,59,75,8,28,20
EPS15,171,355,487,103,231,223,330,728,1665,335,400,232
OSBPL9,376,858,1236,197,403,429,629,1203,2662,559,531,279
MIR761,0,0,0,0,0,0,0,0,0,0,0,0
RAB3B,73,120,180,30,91,92,52,113,615,127,47,39
TXNDC12,320,617,981,216,429,478,660,1234,2204,530,627,311
KTI12,0,0,0,0,0,0,0,0,0,0,0,0
BTF3L4,128,294,385,86,122,150,326,613,1021,174,272,134
ZFYVE9,79,164,200,37,160,186,183,369,1255,266,319,168
CC2D1B,145,271,218,67,368,333,471,818,1517,346,289,142
ORC1,143,263,313,76,64,61,31,39,216,51,21,9
PRPF38A,124,261,361,62,149,151,211,427,825,222,191,128
GPX7,0,1,2,0,13,11,11,17,38,11,7,4
ZYG11B,135,247,260,79,91,95,182,358,798,142,226,159
ZYG11A,30,47,59,10,2,2,5,8,5,2,1,0
ECHDC2,21,48,21,10,104,103,140,221,319,83,121,47
SCP2,224,543,475,105,393,474,848,1797,2605,487,837,525
PODN,0,0,0,0,0,0,0,0,0,0,0,0
SLC1A7,0,1,0,0,0,0,0,0,1,0,0,0
CPT2,86,162,157,51,128,169,235,389,643,146,217,77
C1orf123,117,211,262,64,147,121,176,312,544,115,112,74
MAGOH,100,304,197,57,161,190,269,457,920,245,209,94
LOC100507564,0,4,7,5,1,1,3,1,3,2,2,1
LRP8,354,748,959,214,186,185,178,348,1126,268,172,94
SLC25A3P1,0,0,0,0,0,0,0,0,0,0,0,0
DMRTB1,0,0,0,0,0,0,0,0,0,0,0,0
GLIS1,0,1,0,0,0,0,1,0,4,0,0,0
YIPF1,63,154,176,50,177,213,219,480,876,174,275,122
DIO1,0,0,0,0,0,0,0,0,0,0,1,0
HSPB11,107,330,472,79,99,98,185,335,534,98,97,51
LRRC42,141,228,294,67,142,151,233,456,1180,233,217,109
LDLRAD1,0,0,2,0,1,0,0,3,4,0,0,0
TMEM59,317,659,724,206,558,615,1185,2260,4262,925,1545,730
TCEANC2,46,92,70,25,72,78,102,213,318,61,97,51
MIR4781,0,0,0,0,0,0,0,0,0,0,0,0
CDCP2,0,0,0,0,0,0,0,0,0,0,0,0
CYB5RL,28,58,50,16,7,7,2,10,16,9,5,5
MRPL37,295,643,764,226,460,442,493,919,2574,637,483,245
SSBP3,50,123,67,13,190,183,195,321,668,123,137,95
ACOT11,11,17,10,4,37,37,51,83,230,53,45,24
FAM151A,1,0,1,0,2,1,3,3,8,0,1,1
MROH7,0,0,0,0,0,0,0,0,0,0,0,0
TTC4,0,12,0,1,3,2,3,12,26,10,9,2
PARS2,18,51,34,12,24,22,27,64,107,31,38,15
TTC22,0,0,0,0,40,42,45,93,160,39,56,30
DHCR24,718,1218,923,361,4257,4173,4509,8480,17757,4386,5370,2290
TMEM61,1,4,5,0,10,5,18,34,39,9,16,7
BSND,0,0,0,0,0,0,0,0,3,0,0,0
PCSK9,185,346,164,90,551,557,589,1148,1777,479,420,197
USP24,343,693,851,158,346,403,399,838,2523,514,582,359
LOC100507634,2,7,5,3,0,1,7,4,31,2,7,4
MIR4422,0,0,0,0,0,0,0,0,0,0,0,0
PRKAA2,67,161,212,43,25,28,23,39,231,33,83,47
C8A,0,0,0,0,0,0,0,0,0,0,0,0
C8B,0,0,0,0,0,2,0,0,0,1,1,0
DAB1,0,0,2,0,0,0,0,0,3,0,0,1
OMA1,73,185,213,38,78,54,111,246,346,64,125,65
TACSTD2,0,0,0,0,6846,7592,6458,12041,15829,3773,6367,3632
MYSM1,84,211,317,32,100,96,145,314,672,123,218,134
JUN,236,365,517,135,1512,1662,1294,2226,5082,1074,1419,820
HSD52,0,1,2,0,0,0,0,0,0,0,1,0
FGGY,7,23,13,9,30,35,57,96,162,49,55,35
MIR4711,0,0,0,0,0,0,0,0,0,0,0,0
HOOK1,10,22,44,5,75,82,149,331,698,102,242,137
CYP2J2,1,1,0,0,9,9,8,19,40,10,23,5
C1orf87,0,0,0,0,0,0,0,0,0,0,0,0
NFIA,72,152,120,20,121,131,120,285,604,114,163,100
MGC34796,0,0,0,0,0,0,1,0,1,0,1,0
TM2D1,61,168,112,36,110,97,186,349,742,170,170,132
L1TD1,0,1,0,0,23,21,47,87,187,53,18,11
KANK4,0,4,5,0,65,57,61,152,347,96,79,51
USP1,197,484,623,110,78,124,145,338,797,124,169,88
DOCK7,178,379,511,86,244,206,336,736,2041,467,502,282
ANGPTL3,0,0,0,0,0,0,1,1,0,0,0,0
ATG4C,39,97,182,32,31,46,77,166,272,53,102,53
LINC00466,3,1,0,0,0,0,0,0,0,0,0,0
FOXD3,23,36,15,2,0,0,0,0,0,0,0,0
ALG6,50,129,150,28,39,47,85,207,353,63,108,56
ITGB3BP,98,233,348,61,73,66,177,313,440,70,129,54
EFCAB7,46,94,143,15,18,19,53,109,110,19,58,33
DLEU2L,2,0,3,0,2,1,0,4,0,2,5,2
PGM1,245,455,376,107,367,322,450,767,2582,653,779,337
ROR1,120,221,355,70,5,9,12,22,98,11,25,10
UBE2U,0,0,0,0,0,0,0,0,0,0,0,0
CACHD1,26,44,60,26,31,21,19,63,188,55,53,25
MIR4794,0,0,0,0,0,0,0,0,0,0,0,0
RAVER2,111,204,347,61,67,77,118,207,322,72,135,69
JAK1,1234,2386,3292,650,427,430,466,932,3330,728,678,391
MIR3671,0,0,0,0,0,0,0,0,0,0,0,0
MIR101-1,0,0,0,0,0,0,0,0,0,0,0,0
AK4,64,136,99,20,426,517,650,1388,3266,708,877,405
DNAJC6,38,92,109,21,19,18,17,46,155,26,53,32
LEPROT,309,608,626,133,383,374,483,1091,2548,494,891,422
LEPR,45,84,120,40,25,27,31,65,220,31,104,58
PDE4B,137,325,394,84,2,4,6,14,22,4,20,9
SGIP1,0,0,0,0,0,2,1,1,9,1,1,0
MIR3117,0,0,0,0,0,0,0,0,0,0,0,0
TCTEX1D1,0,0,0,0,0,0,0,0,0,0,0,0
INSL5,0,0,0,0,0,0,0,0,4,1,0,0
WDR78,2,8,29,8,10,14,13,44,58,11,27,11
MIER1,119,242,457,79,114,126,170,454,1097,166,270,169
SLC35D1,66,154,157,34,154,173,227,493,1207,275,401,201
C1orf141,0,0,0,0,1,0,0,0,1,0,0,0
IL23R,0,0,0,0,0,0,0,1,1,0,1,0
IL12RB2,0,0,3,0,5,8,9,14,30,6,31,11
SERBP1,1157,2605,3172,502,2132,2113,2962,5884,11163,2352,3101,1954
GADD45A,77,182,234,45,1533,1736,1542,2753,7010,1519,1516,866
GNG12,815,1744,2028,415,712,745,1025,2218,7306,1212,1778,1113
GNG12-AS1,4,6,9,2,1,0,1,4,3,4,0,2
DIRAS3,0,1,1,0,1,1,1,0,15,2,4,0
WLS,66,151,90,27,380,395,404,815,1581,474,570,249
MIR1262,0,0,0,0,0,0,0,0,0,0,0,0
RPE65,0,0,1,0,0,1,0,0,1,0,0,0
DEPDC1,201,454,750,136,49,51,38,85,338,66,35,17
LRRC7,0,0,0,0,0,0,0,1,0,0,0,0
PIN1P1,0,0,0,0,0,0,0,0,0,0,0,0
LRRC40,115,224,342,59,96,109,170,456,840,120,231,156
SRSF11,412,1097,812,174,673,693,882,1920,3603,802,984,539
ANKRD13C,77,138,145,32,125,110,171,383,953,169,199,146
HHLA3,14,32,49,2,30,39,29,47,92,15,28,15
CTH,11,35,44,6,20,21,24,52,134,16,36,11
PTGER3,0,0,0,1,0,0,0,1,0,0,2,0
ZRANB2-AS1,0,3,0,0,0,1,0,4,5,0,0,0
ZRANB2,172,424,732,101,233,241,462,1002,2360,350,621,342
MIR186,0,0,0,0,0,0,2,1,5,0,5,0
ZRANB2-AS2,0,1,1,0,1,1,0,0,2,0,0,0
NEGR1,0,0,0,0,3,1,1,1,15,4,5,5
NEGR1-IT1,0,0,0,0,0,0,0,0,0,0,0,0
LRRIQ3,7,9,8,9,0,2,8,5,11,0,5,3
FPGT-TNNI3K,0,0,0,0,0,0,0,0,0,0,0,0
FPGT,36,86,123,28,42,48,124,243,439,70,117,67
TNNI3K,0,0,0,0,0,0,0,0,0,0,0,0
CRYZ,459,1030,1469,287,231,253,497,1010,1937,363,494,236
TYW3,99,216,360,39,108,93,155,317,901,201,209,117
LHX8,1,7,1,0,0,0,0,0,0,0,0,0
SLC44A5,4,9,2,1,20,29,43,78,158,25,40,14
ACADM,143,410,491,76,96,89,170,387,673,157,172,85
RABGGTB,193,456,412,88,344,343,669,1372,2368,512,627,309
SNORD45C,2,0,3,1,1,1,6,11,15,3,4,3
SNORD45A,1,9,5,2,0,0,5,16,16,3,3,1
SNORD45B,0,3,1,0,1,0,5,12,52,3,12,4
MSH4,3,0,7,0,0,0,0,2,9,3,2,2
ASB17,0,0,0,0,0,0,1,0,0,0,0,0
ST6GALNAC3,3,3,6,2,0,0,0,0,0,0,0,0
ST6GALNAC5,0,0,0,0,17,22,52,87,160,36,35,19
PIGK,136,294,570,80,95,110,154,335,629,99,227,135
AK5,30,65,82,13,0,0,0,1,0,0,3,0
ZZZ3,108,284,357,54,154,138,205,420,1021,231,302,139
USP33,181,446,634,110,156,169,313,603,1269,215,348,191
NEXN,10,30,46,4,57,76,38,93,129,39,46,18
FUBP1,734,1597,1594,183,665,724,790,1442,3004,822,624,399
DNAJB4,103,263,409,52,73,104,193,459,810,145,303,178
GIPC2,0,0,0,1,1,4,4,19,21,4,2,4
MGC27382,0,0,0,0,0,0,1,1,0,0,1,0
PTGFR,0,0,1,0,0,0,1,5,0,0,4,1
IFI44L,2,7,2,0,8,0,6,11,133,46,521,185
IFI44,2,7,11,1,12,14,32,60,320,101,574,215
MIR548AP,0,0,0,0,0,0,0,0,0,0,0,0
TTLL7,27,73,67,12,22,18,24,59,177,47,37,28
PRKACB,132,295,379,72,118,114,226,463,988,153,282,162
SAMD13,2,15,12,0,4,2,2,10,24,4,7,2
UOX,0,0,0,0,0,0,0,0,0,0,1,1
DNASE2B,0,0,0,0,0,0,0,0,0,0,0,0
RPF1,125,354,470,96,237,232,382,729,1382,298,279,161
GNG5,284,598,946,208,435,561,885,1584,3064,495,614,327
CTBS,41,118,152,25,51,68,98,199,462,65,160,72
SSX2IP,98,239,418,67,93,88,139,232,575,123,155,83
LPAR3,0,3,0,1,128,120,198,340,882,163,283,133
MCOLN2,18,54,63,12,18,24,32,45,108,22,34,19
MCOLN3,31,62,72,18,42,50,87,181,357,49,77,45
WDR63,6,8,20,0,12,18,14,42,67,11,16,10
MIR4423,0,0,0,0,0,0,0,0,0,0,0,0
SYDE2,15,25,34,4,18,18,13,46,127,23,33,22
C1orf52,35,88,161,19,107,95,156,329,661,119,134,82
BCL10,68,103,139,40,166,140,262,524,1465,242,212,135
LOC646626,0,0,1,0,2,1,2,6,20,3,2,3
DDAH1,47,99,143,20,44,44,61,153,302,77,57,37
CYR61,147,236,324,92,1172,1202,1675,3241,7327,1776,1284,708
ZNHIT6,135,369,416,79,144,150,183,486,824,188,211,124
COL24A1,1,3,5,0,0,0,0,1,1,0,0,0
ODF2L,46,125,271,34,158,141,272,563,1095,197,192,135
CLCA2,0,1,0,0,576,520,938,1926,3304,639,2634,1322
CLCA1,0,0,0,0,0,0,0,0,0,0,0,1
